H,K,L,Distance,2theta/TOF,Mult
-1,1,-1,3.2562,27.39013417402084,24
0,0,2,2.82,31.730501921544455,6
-2,-2,0,1.994,45.488680004702005,12
-1,-3,1,1.7005,53.917514335317485,48
2,2,-2,1.6281,56.52463074080288,24
0,4,0,1.41,66.28891029466932,6
1,-3,-3,1.2939,73.14095235470056,24
4,0,2,1.2611,75.36822060727822,24
2,-2,-4,1.1512,84.08265063518029,48
